time(s),current(A),potential(V),frequency(Hz),amplitude(A)
0.72265625,0.0302718896643472,0.0252656295851685,,
0.72509765625,0.0259302685118302,0.023629366662592,,
0.7275390625,0.021578730384744,0.0219692879271816,,
0.72998046875,0.017222710131597,0.0202482540344486,,
0.732421875,0.0128327383148592,0.0185791819151708,,
0.73486328125,0.00843271960685475,0.0169213681801419,,
0.7373046875,0.00403480121879184,0.0152252826004333,,
0.73974609375,-0.00030755612834384,0.0134891264992718,,
0.7421875,-0.00468934319314456,0.0118134925406541,,
0.74462890625,-0.00905012705853007,0.0100982543841912,,
0.7470703125,-0.0134826682464537,0.00838125085978403,,
0.74951171875,-0.0178245275795826,0.006691060942833,,
0.751953125,-0.0221903781961673,0.00496606329943239,,
0.75439453125,-0.0265777516789568,0.00325325668749699,,
0.7568359375,-0.0308826713644544,0.00152759286751358,,
0.75927734375,-0.0352683126246118,-0.000185913229834078,,
0.76171875,-0.039616537875914,-0.0019027835189247,,
0.76416015625,-0.0439069068913013,-0.00365376204905266,,
0.7666015625,-0.0482414475838093,-0.00537940921462132,,
0.76904296875,-0.0525708349139865,-0.00710522292433557,,
0.771484375,-0.056872246848654,-0.00880250762189316,,
0.77392578125,-0.0610441318360001,-0.0105103179094579,,
0.7763671875,-0.0653927035318287,-0.0122399787889376,,
0.77880859375,-0.0697029931074862,-0.0139367305452289,,
0.78125,-0.0738801180682946,-0.0156324330734026,,
0.78369140625,-0.0782278236528072,-0.0173580802389708,,
0.7861328125,-0.0822855118631267,-0.0190448393465208,,
0.78857421875,-0.0864868446352199,-0.0207298663949556,,
0.791015625,-0.0906618476233039,-0.0224270178571966,,
0.79345703125,-0.0947321810588384,-0.0241244357900707,,
0.7958984375,-0.0988456035323484,-0.0257761540093671,,
0.79833984375,-0.102977257649062,-0.0274810164655537,,
0.80078125,-0.107019052716731,-0.0291322350524132,,
0.80322265625,-0.111066087757863,-0.0307543417226062,,
0.8056640625,-0.115086879626117,-0.0323911542408637,,
0.80810546875,-0.118979876769682,-0.0339874465684744,,
0.810546875,-0.123063245180524,-0.0356472921420807,,
0.81298828125,-0.126986209775625,-0.0372986106554278,,
0.8154296875,-0.130852703912918,-0.0388544161012216,,
0.81787109375,-0.134622366805071,-0.0404426810010103,,
0.8203125,-0.138608340998418,-0.0420164898689532,,
0.82275390625,-0.142439584405146,-0.0435881170085874,,
0.8251953125,-0.146070799403423,-0.0450831504956191,,
0.82763671875,-0.149709679486846,-0.0466193536954647,,
0.830078125,-0.153550709951446,-0.0481925963133123,,
0.83251953125,-0.157214014373983,-0.0496456606756297,,
